x,y,z
0.2683187612799496,0.46351198626187234,0.4733356963615253
0.25000001559251417,0.31380241087087635,0.5145616280555649
0.6387607536502413,0.5270035395734733,0.4722129313938006
0.2500000311850283,0.37731533632185,0.5600225385633799
0.2722716299330076,0.5267354938605047,0.27395640108515995
0.38517634390242106,0.47010995861757143,0.44799363012533605
0.7499061798424572,0.4097807023074187,0.41974911093823286
0.7130977009575956,0.6093374591056431,0.3506416745761427
0.7468814659882205,0.4126466479852408,0.4897488756991697
0.7432224486590224,0.48431623587478045,0.5518065829910681
0.2837838118081673,0.4511942327365063,0.36816450037962056
0.7462047976523578,0.46138267253176657,0.4169690904082972
0.42820042511638434,0.474175535160293,0.4475025906702358
0.25849244203293165,0.5341070576199218,0.5038925334196174
0.6776020026151972,0.45661195572237423,0.47405386157500257
0.7499999844074858,0.5011250388760358,0.4516445861247269
0.27809958157072523,0.40478259986441373,0.3950216860166822
0.7162162037843469,0.3334646491561139,0.3584319129325653
0.7468814815807345,0.33960243444467864,0.4832956226646507
0.25220488025110266,0.4416219155447272,0.518545671341881
0.7130977009575956,0.5285057275826242,0.3273449511839443
0.633702178239921,0.38624225336610934,0.5176634988672402
0.2531185340117796,0.3389219771278815,0.4918088755064462
0.7162162037843469,0.5000980587226348,0.30438858119025747
0.263511724307635,0.5808616686304052,0.4013460565268762
0.6501043960401293,0.4863867086540501,0.44369458686848984
0.2869023302274327,0.44937458113959217,0.30366414258859376
0.2500000311850283,0.3096146202023744,0.5235687997700708
0.4964973529264431,0.5529169207250282,0.45272372843541003
0.725906275642864,0.4420838333809303,0.394154549923171
0.6383306237528523,0.35968266645380453,0.5477046083228536
0.27915122388398117,0.3866397585264259,0.38991792869790687
0.2582364441358836,0.5779258892792827,0.462499574714177
0.7286579697721234,0.4381452266808,0.2615981018255414
0.7499999844074858,0.4373207205209305,0.4933150603967199
0.2500000311850283,0.3765521451250592,0.5251958786199282
0.7162162037843469,0.6136256735693237,0.33615512187737945
